title,author,price
 【(＾－＾)V可开发票，量大优惠】正版现货 计算机应用基础 叶克江 西安电子科技大学出版社(高职高专公共基础课十三五规划,叶克江，杨兴波，李海燕,¥43.30
 正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍,不详,¥51.56
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 书籍 9787508,特伦斯谢诺夫斯基,¥99.75
 3dmax教程书籍 2017从入门到精通 3ds Max 2017教程书籍基础知识 大学教材 计算机类书籍 室内设计 计,耿晓武,¥76.70
 Windows Server 2012网络管理项目实训教程 褚建立 书店 计算机类书籍,其他,¥34.00
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥47.00
 官方 O 2010案例教程 杨彩云 电子工业出版社 中职教材书籍 计算机类书籍,电子工业出版社,¥41.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥72.00
 施耐德EcoStruxure Machine控制器应用及编程进阶?李幼涵编著 计算机类书籍,机械工业出版社,¥65.90
 机器学习观止 核心原理与实践 语音识别自然语言处理算法书籍 人工智能计算机类书籍 【启智慧图书】,林学森,¥183.62
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版【,特伦斯谢诺夫斯基,¥94.30
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥75.70
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥132.00
 C语言程序设计 邱少明 高等学校新工科计算机类专业书籍 C语言基础入门 西安电子科技大学出版社 97875606662,西安电子科技大学出版社,¥47.30
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级老师推荐儿童趣味百科全书可怕,吉林出版集团股份有限公司,¥168.00
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级老师儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥66.00
 深入浅出计算机网络 计算机网络程序设计类书籍 韩立刚等 网络通信协议书籍 人民邮电出版社凤凰新华书店旗舰店正版书籍,韩立刚等,¥97.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥73.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥63.74
 漫画版机械里的科学课全10册 JST这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕,吉林出版集团股份有限公司,¥131.12
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥132.00
 任选知识图谱与认知智能 基本原理 关键技术.应用场景与解决方案 吴睿 电子工业出版社 计算机理论类书籍 凤凰新华书店旗舰,吴睿,¥71.00
 这就是数学全套8册 JST这就是系列几何生物地理物理化学计算机科普类书籍小学一二三四五六年级阅读课外书科学启蒙图画书10,米莱童书,¥747.13
 计算机应用基础 叶克江 西安电子科技大学出版社(高职高专公共基础课十三五规划教材) 畅销书计算机类书籍【星辰智慧图书】,西安电子科技大学出版社,¥56.25
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍,不详,¥56.20
 新书 Kubernetes权威指南:从Docker到Kubernetes实践全接触(第五版)全新升级K8s1.19程序设,龚正,¥157.93
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥24.05
